admin1,Jan_rain_min,Jan_rain_max,Jan_rain_mean,Jan_rain_count,Jan_rain_median,year,Feb_rain_min,Feb_rain_max,Feb_rain_mean,Feb_rain_median,Mar_rain_min,Mar_rain_max,Mar_rain_mean,Mar_rain_median,Apr_rain_min,Apr_rain_max,Apr_rain_mean,Apr_rain_median,May_rain_min,May_rain_max,May_rain_mean,May_rain_median,Jun_rain_min,Jun_rain_max,Jun_rain_mean,Jun_rain_median,Jul_rain_min,Jul_rain_max,Jul_rain_mean,Jul_rain_median,Aug_rain_min,Aug_rain_max,Aug_rain_mean,Aug_rain_median,Sep_rain_min,Sep_rain_max,Sep_rain_mean,Sep_rain_median,Oct_rain_min,Oct_rain_max,Oct_rain_mean,Oct_rain_median,Nov_rain_min,Nov_rain_max,Nov_rain_mean,Nov_rain_median,Dec_rain_min,Dec_rain_max,Dec_rain_mean,Dec_rain_median,silt_min,silt_max,silt_mean,silt_count,silt_median,bulkdensity_min,bulkdensity_max,bulkdensity_mean,bulkdensity_median,clay_min,clay_max,clay_mean,clay_median,harvested_area,production_mt,yield_mt_ha,value_ksh
Taita Taveta,1.4905540943145752,17.292757034301758,5.173316906971537,628,4.653467178344727,2014.0,5.677992820739746,72.62098693847656,28.5685646397293,27.758852005004883,75.0571060180664,258.2742919921875,144.53386246019107,141.29336547851562,27.288244247436523,166.91883850097656,74.7195710589172,74.6997299194336,1.897937297821045,146.66741943359375,37.555362385549365,36.404720306396484,0.10387268662452698,76.84539794921875,15.88160890226911,11.087895393371582,0.1298026144504547,41.11250305175781,10.899054849223726,9.134880065917969,2.4744415283203125,53.98762512207031,15.552020613554935,13.256129264831543,1.934346079826355,124.8751220703125,25.748662669187897,21.80029296875,2.1340603828430176,124.81398010253906,30.365641794386942,24.571674346923828,64.99806213378906,216.68301391601562,131.93023487261146,130.16221618652344,61.21003723144531,293.985595703125,142.34276721735668,143.97821044921875,5.0,33.0,14.70470779760125,240792,14.0,899.0,1660.0,1363.642645935081,1380.0,14.0,50.0,28.411404863948967,28.0,,,,
Tana River,0.21653655171394348,9.170734405517578,4.7509076532430505,1403,4.735964298248291,2014.0,0.08322526514530182,18.244855880737305,5.7794026750712755,5.121000289916992,1.5569610595703125,164.30224609375,75.60953648431932,77.94036865234375,2.085712432861328,242.5677032470703,85.46028599429793,82.04258728027344,0.28117629885673523,342.17010498046875,34.46985254811119,10.017672538757324,3.6197169706042587e-09,129.03761291503906,18.2713437722737,8.798089981079102,0.0,70.96754455566406,13.37212669280114,9.904139518737793,2.4191280090235523e-08,67.18242645263672,13.169750645937278,10.240768432617188,0.22141221165657043,48.978248596191406,14.314446164468995,13.844718933105469,1.1931655406951904,51.56000518798828,18.252798133464005,16.81656837463379,3.1419522762298584,287.54168701171875,135.16344440484676,133.85647583007812,2.4180006980895996,148.79342651367188,64.50952757483962,57.48063278198242,8.0,34.0,18.659688182248782,551027,18.0,1190.0,1630.0,1422.9836287514042,1420.0,11.0,60.0,29.472519495414925,29.0,,,,
Tharaka-Nithi,4.729778289794922,21.037086486816406,8.369087727864583,120,7.341152667999268,2014.0,8.500848770141602,120.5929183959961,32.500309244791666,23.56318473815918,75.37207794189453,211.8948516845703,127.37646484375,122.06583404541016,94.85433959960938,314.61810302734375,185.94759114583334,164.00831604003906,9.136064529418945,148.40328979492188,52.78244222005208,41.234092712402344,1.9852066040039062,100.77796936035156,19.466805013020835,6.005183219909668,1.6438493728637695,60.844459533691406,15.020906575520833,8.935490608215332,0.13081076741218567,186.4716796875,40.19100748697917,17.787979125976562,1.0748083591461182,93.2049560546875,13.81224365234375,2.65840482711792,31.905994415283203,266.8481140136719,96.59207356770834,70.09559631347656,189.79275512695312,339.606689453125,253.525927734375,251.80740356445312,61.441497802734375,147.2420654296875,89.19290364583334,89.97676086425781,10.0,50.0,19.332719692457633,36938,18.0,709.0,1480.0,1221.1734257404298,1230.0,12.0,63.0,38.41642752720775,37.0,,,,
Trans Nzoia,12.126054763793945,34.90269470214844,20.268790185978983,113,19.16414451599121,2014.0,16.81778907775879,38.497314453125,26.085812188882745,25.888103485107422,68.73624420166016,137.783203125,101.11331581858407,98.2872085571289,39.317832946777344,109.3743896484375,59.70282252488938,56.03215408325195,94.53779602050781,264.7699279785156,175.20421391039824,168.78591918945312,66.19947814941406,165.6268310546875,125.47584520188053,124.38847351074219,114.89561462402344,219.31881713867188,167.2762202710177,172.06503295898438,154.797119140625,297.64898681640625,216.3966399336283,219.30235290527344,49.856727600097656,123.30551147460938,91.38777309181415,90.6776123046875,121.07723999023438,408.5699462890625,235.76728429203538,221.89682006835938,50.75717544555664,175.61802673339844,77.71734997234513,69.34742736816406,11.12635612487793,54.68707275390625,33.503538958794245,32.80359649658203,17.0,34.0,25.773313758152405,35419,26.0,778.0,1400.0,1116.2481154182783,1120.0,22.0,62.0,42.734097518281146,44.0,,,,
Turkana,1.1470160484313965,12.512853622436523,3.1533690229668676,2075,2.4149951934814453,2014.0,2.42478609085083,43.272796630859375,10.196043862951807,8.05156135559082,13.05878734588623,172.32054138183594,53.96143825301205,54.17750930786133,5.133049964904785,89.12669372558594,26.063659638554217,23.379413604736328,0.34238386154174805,113.7711181640625,18.47449548192771,14.380121231079102,0.3270394206047058,67.17913818359375,13.285710655120482,8.785097122192383,10.251825332641602,126.2416763305664,35.636521084337346,32.50993728637695,0.18874090909957886,169.1063995361328,30.22785768072289,20.002687454223633,2.8599012047436645e-09,64.81119537353516,9.336511671686747,4.872986793518066,8.700713927112247e-09,167.699951171875,22.443527861445784,2.5607388019561768,1.4444270133972168,90.47221374511719,23.871731927710844,18.886898040771484,4.687920570373535,63.09571075439453,16.745873493975903,14.194210052490234,7.0,36.0,22.934639012372532,662031,24.0,962.0,1610.0,1373.479610471413,1380.0,10.0,48.0,28.377622800140777,28.0,,,,
Uasin Gishu,12.954204559326172,33.73716735839844,18.161287434895833,150,17.72024917602539,2014.0,21.286075592041016,108.73566436767578,51.05935872395833,51.06464385986328,67.11689758300781,150.63290405273438,103.30095052083334,103.1933364868164,44.028011322021484,134.141357421875,67.75364583333334,68.23336791992188,93.15975189208984,268.1589660644531,145.78658854166667,144.67001342773438,59.695762634277344,200.72044372558594,96.1034765625,89.7574462890625,98.26554107666016,225.0532989501953,155.823515625,154.25247192382812,137.25177001953125,334.237548828125,231.75578125,229.78903198242188,46.88579559326172,153.246826171875,81.83395833333333,79.27403259277344,93.44084167480469,232.0546417236328,148.13640625,140.25936889648438,45.481510162353516,141.55393981933594,84.54783854166666,81.52183532714844,25.286222457885742,76.15471649169922,49.71731770833333,48.54035568237305,17.0,35.0,25.65403400309119,48525,25.0,990.0,1360.0,1130.3908500772798,1130.0,28.0,53.0,43.66893353941268,44.0,,,,
Vihiga,42.49971389770508,68.73536682128906,57.49521706321023,33,57.664215087890625,2014.0,83.103759765625,185.07275390625,113.7532626065341,115.35611724853516,134.41046142578125,196.20101928710938,151.20544803503788,150.272705078125,126.77132415771484,166.5906982421875,149.49563506155303,149.12120056152344,251.34127807617188,414.49432373046875,339.53228574810606,339.6561584472656,102.05570983886719,194.5225067138672,164.85736268939394,168.26351928710938,86.27674865722656,207.9451141357422,145.39176432291666,149.815673828125,199.62649536132812,396.9197998046875,298.3663293087121,287.60858154296875,139.71743774414062,210.24832153320312,164.35944898200756,161.56080627441406,195.579833984375,286.1579284667969,235.57818418560606,231.69720458984375,108.71035766601562,158.838134765625,139.25793087121212,141.933837890625,75.44300079345703,133.55435180664062,109.88051165956439,114.01810455322266,16.0,32.0,25.155121951219513,8200,25.0,1040.0,1360.0,1204.4975609756098,1210.0,25.0,50.0,41.72121951219512,42.0,,,,
Wajir,0.39394620060920715,4.793274402618408,2.5542714823676773,1946,2.4916319847106934,2014.0,2.116582155227661,20.538177490234375,5.235185958376157,4.605004787445068,19.458066940307617,72.30239868164062,36.217902909815,34.759307861328125,34.00249481201172,299.6888732910156,129.9123522610483,121.07978820800781,1.0992705821990967,140.05300903320312,35.893025757965056,31.047527313232422,1.1125588450511259e-08,12.510043144226074,2.239444493512333,1.8606829643249512,6.430361885328972e-13,30.062255859375,4.471324391379754,4.05167293548584,1.4868637876475077e-08,12.486417770385742,2.9707661047501284,2.5408401489257812,0.2674039900302887,15.714561462402344,3.5443884289889516,2.6920156478881836,1.8217284679412842,55.987648010253906,19.19986510791367,18.230127334594727,10.268034934997559,216.89242553710938,92.13078108941419,82.9106674194336,5.4832234382629395,30.2197322845459,13.971954690711716,13.322233200073242,9.0,34.0,21.442688626752727,781782,22.0,1120.0,1590.0,1438.754107922669,1440.0,11.0,48.0,27.193322435154556,27.0,,,,
West Pokot,2.207359790802002,23.046892166137695,7.604096976433011,362,6.274966716766357,2014.0,3.405966281890869,44.86463928222656,11.880214627935082,9.935283660888672,24.7641658782959,126.58721923828125,63.020885488604975,62.093666076660156,6.664297103881836,65.39393615722656,28.32706211153315,27.62550926208496,11.00517749786377,168.78591918945312,76.42478310600829,64.53553771972656,10.241144180297852,146.31468200683594,54.43794781595304,46.248069763183594,32.62358856201172,208.58551025390625,87.30020394509668,78.992919921875,29.350719451904297,274.9074401855469,121.79498661947514,114.69485473632812,3.522307872772217,93.67958068847656,39.07893430593923,36.525123596191406,1.062518835067749,372.2713928222656,136.9106957872928,138.2252655029297,9.579763412475586,126.67119598388672,51.77370187327348,47.508628845214844,5.536944389343262,50.38169479370117,21.516728353763813,18.539108276367188,12.0,34.0,23.016194750831623,125658,23.0,796.0,1560.0,1279.628833818778,1280.0,16.0,51.0,31.05472791226981,30.0,,,,
Nakuru,10.37817096710205,45.381439208984375,20.650427592665615,317,19.9006404876709,2014.0,43.87815856933594,140.97372436523438,85.34601735015772,86.3940200805664,54.385093688964844,191.25328063964844,102.93888012618297,98.81547546386719,30.409093856811523,92.27947235107422,61.49597052444795,60.91331481933594,39.859458923339844,213.58743286132812,99.1806671431388,93.0372543334961,22.44784927368164,152.380615234375,90.28957388604101,90.09315490722656,0.6119555234909058,190.9786834716797,76.68809764392745,79.5001220703125,1.2971830368041992,339.04132080078125,132.892128351735,127.29301452636719,15.082375526428223,161.89076232910156,71.6284010252366,67.72661590576172,5.694046974182129,178.88267517089844,87.81817453667192,89.46571350097656,35.270973205566406,131.35824584960938,71.98962440851734,71.69931030273438,20.76897430419922,147.92037963867188,55.77129337539432,47.000091552734375,16.0,46.0,29.77398127542015,104248,30.0,841.0,1400.0,1114.725347248868,1130.0,16.0,51.0,33.600730949274805,33.0,,,,
Baringo,1.8594069480895996,13.977697372436523,7.284064011346726,420,7.485060691833496,2015.0,4.861196994781494,35.71342468261719,15.896212332589286,15.117090225219727,8.976982116699219,47.22626495361328,19.725653366815475,17.363140106201172,73.72761535644531,326.130615234375,159.66795014880952,150.46820068359375,26.471237182617188,223.3173828125,99.48831845238095,93.64752960205078,40.64170837402344,182.78555297851562,89.40729166666667,86.62683868408203,36.990936279296875,134.10130310058594,76.32188430059524,73.47639465332031,13.422343254089355,72.95316314697266,37.639978608630955,36.481773376464844,9.602544784545898,99.246337890625,36.50191592261905,31.436607360839844,0.9005390405654907,175.51437377929688,71.39428478422619,71.28230285644531,4.79470157623291,272.13323974609375,109.3825427827381,104.94439697265625,28.155132293701172,144.33164978027344,70.26090959821428,70.403076171875,16.0,42.0,26.093247715615565,151682,26.0,931.0,1540.0,1241.4308883057977,1230.0,18.0,60.0,35.2150090320539,35.0,,,,
Bomet,10.792398452758789,21.094955444335938,14.039066859654017,112,14.014297485351562,2015.0,31.036754608154297,81.0112075805664,44.466282435825896,43.90641784667969,41.58869934082031,117.69239807128906,78.79151262555804,80.54288482666016,224.2859344482422,416.5908203125,314.9282924107143,324.2572021484375,132.36495971679688,419.20806884765625,275.9279087611607,285.5933532714844,106.51472473144531,223.94981384277344,161.97523716517858,161.9027099609375,32.269344329833984,121.18816375732422,70.04027012416294,68.10467529296875,39.2904052734375,114.84849548339844,70.13976614815849,67.26730346679688,53.37805938720703,171.6618194580078,108.93319266183036,105.4762954711914,51.41217803955078,230.10504150390625,132.64009312220983,130.12777709960938,103.00202178955078,210.18626403808594,163.29035295758928,167.57965087890625,106.00192260742188,253.7586212158203,175.018310546875,174.4835662841797,17.0,36.0,26.432650136161673,34885,27.0,883.0,1370.0,1152.181854665329,1150.0,25.0,51.0,38.391772968324496,38.0,,,,
Bungoma,3.1414289474487305,11.973637580871582,7.065416379082472,133,7.037269592285156,2015.0,9.391653060913086,38.86145782470703,24.815906954887218,25.46540069580078,31.277454376220703,94.96953582763672,60.549283364661655,59.86646270751953,200.17196655273438,362.848876953125,274.93344689849624,269.92315673828125,144.3434600830078,342.342041015625,229.8433828712406,228.2525177001953,137.189697265625,268.1123046875,207.58680392387217,212.90518188476562,105.25556945800781,177.60345458984375,139.7772850093985,137.89266967773438,63.973487854003906,115.22795104980469,82.802734375,81.03382873535156,113.99285125732422,211.06951904296875,153.5009839050752,150.55081176757812,86.139404296875,434.94891357421875,262.27249765037595,267.5286865234375,68.14373016357422,313.3829040527344,198.36582178101503,210.3337860107422,69.69483947753906,182.0616455078125,118.3888554393797,107.85691833496094,17.0,37.0,24.603157992651504,43002,24.0,807.0,1300.0,1124.9254453281242,1130.0,22.0,50.0,38.55492767778243,39.0,,,,
Busia,3.1795847415924072,11.323465347290039,7.681178699840199,88,7.800531387329102,2015.0,21.0196475982666,58.07801055908203,33.234166925603695,32.44731903076172,63.36378860473633,130.96533203125,98.83103249289773,101.10159301757812,237.2564697265625,363.9248046875,306.68776633522725,314.26788330078125,164.474609375,362.88983154296875,254.22629616477272,244.71759033203125,95.63375854492188,282.4466857910156,196.22705078125,201.7193603515625,22.03988265991211,141.7833251953125,84.70993319424716,91.83538055419922,14.477977752685547,83.27127075195312,56.48674982244318,64.32044219970703,63.5892333984375,198.8436279296875,155.3758877840909,161.1722412109375,135.8841094970703,367.5877685546875,289.31289950284093,296.0565185546875,206.53823852539062,408.6871032714844,289.2587890625,291.4998779296875,59.98548889160156,212.12908935546875,159.80229048295453,166.69189453125,12.0,33.0,22.26631745239877,24054,22.0,1030.0,1390.0,1224.4425043651784,1220.0,22.0,55.0,39.84692774590505,40.0,,,,
Elgeyo-Marakwet,4.561060905456543,14.214691162109375,8.744199151862157,146,8.965065002441406,2015.0,8.103063583374023,28.617267608642578,17.970117856378426,18.375268936157227,14.423848152160645,49.17020797729492,29.836278627996574,28.739238739013672,117.96638488769531,324.10772705078125,210.21393407534248,199.2181396484375,89.96913146972656,222.8623046875,152.43408872003425,156.5277557373047,69.61280822753906,197.98092651367188,125.4185573630137,124.59353637695312,66.5328598022461,166.28936767578125,115.74260220462328,116.31694030761719,28.922714233398438,108.8521499633789,55.678005270761986,54.0054931640625,28.427387237548828,115.27347564697266,65.70631555008562,67.16320037841797,54.948463439941406,234.4728546142578,126.19349315068493,118.64334869384766,83.81526184082031,223.68096923828125,157.0271564640411,155.23818969726562,56.59673309326172,144.33164978027344,84.63143461044521,85.81204223632812,15.0,36.0,25.891243790333814,43078,26.0,888.0,1500.0,1175.9268304006685,1160.0,21.0,55.0,38.09206555550397,38.0,,,,
Embu,5.7290449142456055,34.626522064208984,13.345804850260416,132,11.699249267578125,2015.0,8.695440292358398,52.25913619995117,18.560139973958332,16.47896957397461,30.78977394104004,101.35310363769531,53.78299597537879,51.15342712402344,247.84510803222656,632.69482421875,373.9840790719697,341.8108215332031,39.76084518432617,231.541748046875,99.2744140625,92.04609680175781,0.975115954875946,54.96675109863281,10.531232429273201,7.01078987121582,3.066474676132202,100.36776733398438,25.354103781960227,16.899734497070312,0.8794816136360168,62.07072448730469,16.72299471768466,11.435124397277832,0.6021548509597778,40.48461151123047,7.503314856326941,4.338088035583496,46.174583435058594,244.23989868164062,118.36097301136364,100.7188949584961,208.43051147460938,500.3004455566406,353.001006155303,354.20770263671875,61.49463653564453,164.434326171875,113.66068152225378,110.16001892089844,11.0,39.0,19.604128764908026,39576,18.0,742.0,1440.0,1198.5445724681624,1230.0,12.0,66.0,39.14913078633515,38.0,,,,
Garissa,0.4891965389251709,8.704855918884277,4.618677127966381,1517,4.5555243492126465,2015.0,0.4451756477355957,9.061738014221191,4.735534064456988,4.527760982513428,17.426925659179688,112.80555725097656,48.93675325477917,45.658573150634766,37.7576789855957,258.77789306640625,137.596438282795,133.488037109375,0.3610653579235077,343.5816345214844,65.06614102669742,21.25666046142578,3.965107353565145e-09,102.09923553466797,19.02074535472973,3.388674259185791,0.0,61.212562561035156,16.564825210118656,10.96638011932373,1.618004397130335e-08,51.496009826660156,9.611863721572181,4.039207935333252,0.3911171853542328,42.90482711791992,13.762433307926829,13.190367698669434,2.6476945877075195,185.03341674804688,40.43311737804878,37.46879196166992,21.932262420654297,406.733154296875,205.6950189518787,209.34739685058594,8.255392074584961,82.97992706298828,45.404468111404086,46.50701141357422,8.0,33.0,20.522703180212016,611280,21.0,1260.0,1630.0,1406.4904593639576,1410.0,13.0,50.0,30.81391179165031,31.0,,,,
